US Standard Atmosphere,1976,,,
Reference,Altitude,Static Pressure,Temp,Temp Lapse
0,0,101325,288.15,-0.0065
1,11000,22632.1,216.65,0
2,20000,5474.89,216.65,0.001
3,32000,868.019,228.65,0.0028
4,47000,110.906,270.65,0
5,51000,66.9389,270.65,-0.0028
6,71000,3.95642,214.65,-0.002
7,84852,,187.15,
